School Name ,Url,Master Program,,,,,,,,,,,,,,,,,,,
University of Tennessee-Knoxville,http://www.eecs.utk.edu/academics/graduate,"Computer Engineering Major, MS","Computer Science Major, MS","Electrical Engineering Major, MS",,,,,,,,,,,,,,,,,
University of Texas-Dallas,http://www.utdallas.edu/admissions/graduate/degrees/detail.php?d=151,Master of Science in Computer Science,,,,,,,,,,,,,,,,,,,
Washington State University,http://school.eecs.wsu.edu/graduate/degrees/masters,M.S. Computer Science,M.S. Electrical Engineering,M.S. Computer Engineering,,,,,,,,,,,,,,,,,
Brandeis University,http://www.brandeis.edu/programs/computerscience/,M.A. in Computer Science,M.A. in Computational Linguistics,,,,,,,,,,,,,,,,,,
Clemson University,http://www.clemson.edu/ces/departments/computing/academics/graduates/programsofstudy/msincs.html,Computing Foundations,Graphics and Visualization,Informatics and Scientific Computation,Interactive Computing,Software Engineering,Systems and Implementation,,,,,,,,,,,,,,
CUNY Graduate School and University Center,http://www.gc.cuny.edu/Page-Elements/Academics-Research-Centers-Initiatives/Doctoral-Programs/Computer-Science/Program,Computer Science,,,,,,,,,,,,,,,,,,,
Florida State University,http://www.cs.fsu.edu/academics/graduate-programs/ms-in-computer-science/,Computer Science Major,Cybersecurity Major,Computer Network and System Administration Major,,,,,,,,,,,,,,,,,
George Washington University,http://www.cs.seas.gwu.edu/master-science-computer-science,Master of Science in Computer Science,,,,,,,,,,,,,,,,,,,
University of Connecticut ,https://www.cse.uconn.edu/graduate-studies/m-s-degree-program/,Computer Science and Engineering,,,,,,,,,,,,,,,,,,,
University of Kansas,http://www.eecs.ku.edu/prospective_students/graduate/masters,Computer Science,Computer Engineering,Information Technology,,,,,,,,,,,,,,,,,
University of New Mexico,http://www.cs.unm.edu/programs-and-degrees/masters/index.html,computer science,,,,,,,,,,,,,,,,,,,
Auburn University,http://eng.auburn.edu/csse/academics/graduate/index.html,Master of Computer Science,Master of Software Engineering,,,,,,,,,,,,,,,,,,
Brigham Young University,http://graduatestudies.byu.edu/content/graduate-studies-catalog,Computer Science Program,Electrical and Computer Engineering,,,,,,,,,,,,,,,,,,
Drexel University,http://drexel.edu/cci/programs/graduate-programs/ms-in-computer-science/,MS IN COMPUTER SCIENCE,,,,,,,,,,,,,,,,,,,
Kansas State University,http://catalog.k-state.edu/preview_program.php?catoid=2&poid=484,Computing and Information Sciences,,,,,,,,,,,,,,,,,,,
New Jersey Institute of Technology,http://cs.njit.edu/academics/graduate/mscs.php,Bioinformatics,Computer Networking & Security,Database & Data Mining,Image Processing & Pattern Recognition,Software Engineering,,,,,,,,,,,,,,,
Oregon Health and Science University,http://www.ohsu.edu/xd/education/schools/school-of-medicine/departments/basic-science-departments/csee/ms/,Speech and Language Processing,Machine Learning,,,,,,,,,,,,,,,,,,
University of Central Florida,http://www.cs.ucf.edu/CS/masters.php,Master of Computer Science,,,,,,,,,,,,,,,,,,,
University of Georgia,http://cs.uga.edu/master-science-computer-science,Master of Computer Science,Masters in Applied Mathematical Sciences (MAMS),,,,,,,,,,,,,,,,,,
University of Kentucky,https://www.cs.uky.edu/future/graduate/admissions,Master of Computer Science,,,,,,,,,,,,,,,,,,,
University of Texas-Arlington,http://www.uta.edu/engineering/future-students/programs-masters/computer-science-and-engineering/mscs.php,Computer Systems,Intelligent Systems,Software Engineering,Database,Communications,,,,,,,,,,,,,,,
Worcester Polytechnic Institute,https://www.wpi.edu/academics/cs/ms-program.html,network performance and analysis,software engineering,visualization,computer graphics,graph theory,multi-media systems,artificial intelligence,databases,computational complexity,computer vision,,,,,,,,,,
